@COURIER,Postage & Freight,7/23/09,14.17
@COURIER,Other Contracted Svces/Labor,8/6/09,38.76
@COURIER,Other Contracted Svces/Labor,8/20/09,41.48
A & A CAR PARTS,Maintenance Supplies,10/16/08,179
A & A CAR PARTS,Maintenance Supplies,10/16/08,13.38
A & A CAR PARTS,Maintenance Supplies,2/10/09,49.84
A & A CAR PARTS,Maintenance Supplies,2/10/09,29.52
A & A CAR PARTS,Maintenance Supplies,4/21/09,220
A & A CAR PARTS,Maintenance Supplies,4/30/09,120
A & A CAR PARTS,Maintenance Supplies,4/30/09,35.96
A & A CAR PARTS,Classroom Supplies,5/28/09,60
"A & B MANAGEMENT, INC",Food & Related Supplies,10/7/08,"3,090.18"
"A & B MANAGEMENT, INC",Refreshments,11/4/08,"1,425.98"
"A & B MANAGEMENT, INC",Refreshments,12/12/08,"2,076.12"
"A & B MANAGEMENT, INC",Refreshments,12/18/08,86.94
"A & B MANAGEMENT, INC",Refreshments,12/18/08,137.5
"A & B MANAGEMENT, INC",Refreshments,12/23/08,980.99
"A & B MANAGEMENT, INC",Refreshments,12/23/08,300
"A & B MANAGEMENT, INC",Official Functions,2/5/09,519.8
"A & B MANAGEMENT, INC",Refreshments,3/5/09,108
"A & B MANAGEMENT, INC",Refreshments,3/5/09,17.96
"A & B MANAGEMENT, INC",Refreshments,3/5/09,"4,899.71"
"A & B MANAGEMENT, INC",Refreshments,3/17/09,75
"A & B MANAGEMENT, INC",Refreshments,4/7/09,"3,084.61"
"A & B MANAGEMENT, INC",Official Functions,4/16/09,"1,624.63"
"A & B MANAGEMENT, INC",Refreshments,4/23/09,171
"A & B MANAGEMENT, INC",Refreshments,4/23/09,297.5
"A & B MANAGEMENT, INC",Refreshments,4/23/09,93.78
"A & B MANAGEMENT, INC",Official Functions,6/2/09,360
"A & B MANAGEMENT, INC",Refreshments,6/4/09,206.46
"A & B MANAGEMENT, INC",Official Functions,6/9/09,"3,083.20"
"A & B MANAGEMENT, INC",Refreshments,7/7/09,"1,092.26"
